bus_reg,depot
DL1PD5219,bawana sector-5
DL1PD5620,bawana sector-5
DL1PD5527,bawana sector-5
DL1PD6220,bawana sector-5
DL1PD5652,bawana sector-5
DL1PD5482,bawana sector-5
DL1PD6336,bawana sector-5
DL1PD6238,bawana sector-5
DL1PD5685,bawana sector-5
DL1PD5193,bawana sector-5
DL1PD6120,bawana sector-5
DL1PD6195,bawana sector-5
DL1PD6376,bawana sector-5
DL1PD5566,bawana sector-5
DL1PD6323,bawana sector-5
DL1PC4855,bbm 
DL1PC6505,bbm 
DL1PC6744,bbm 
DL1PC6530,bbm 
DL1PC4789,bbm 
DL1PC6527,bbm 
DL1PC6491,bbm 
DL1PC6503,bbm 
DL1PC6526,bbm 
DL1PC6507,bbm 
DL1PC6509,bbm 
DL1PC6531,bbm 
DL1PC5939,bbm 
DL1PC6529,bbm 
DL1PC4861,bbm 
DL1PC4791,bbm 
DL1PC6747,bbm 
DL1PC4784,bbm 
DL1PC6718,bbm 
DL1PC4725,bbm 
DL1PC6742,bbm 
DL1PC4780,bbm 
DL1PC5750,bbm 
DL1PC6502,bbm 
DL1PC4128,bbm 
DL1PC4839,bbm 
DL1PC4862,bbm 
DL1PC4856,bbm 
DL1PC4710,bbm 
DL1PC6748,bbm 
DL1PC4788,bbm 
DL1PC6746,bbm 
DL1PC4786,bbm 
DL1PC4140,bbm 
DL1PC4843,bbm 
DL1PC4787,bbm 
DL1PC6739,bbm 
DL1PC5746,bbm 
DL1PC6508,bbm 
DL1PC6749,bbm 
DL1PC6743,bbm 
DL1PC5938,bbm 
DL1PC5749,bbm 
DL1PC4854,bbm 
DL1PC4723,bbm 
DL1PC4643,bbm 
DL1PC4708,bbm 
DL1PC4827,bbm 
DL1PC5943,bbm 
DL1PC6528,bbm 
DL1PC6504,bbm 
DL1PC4829,bbm 
DL1PC4706,bbm 
DL1PC4863,bbm 
DL1PC6741,bbm 
DL1PC4644,bbm 
DL1PC5864,bbm 
DL1PC5853,bbm 
DL1PC5865,bbm 
DL1PC5862,bbm 
DL1PC5863,bbm 
DL1PC5861,bbm 
DL1PC5856,bbm 
DL1PC5852,bbm 
DL1PC5866,bbm 
DL1PC4859,bbm 
DL1PC5744,bbm 
DL1PC5745,bbm 
DL1PC4640,bbm 
DL1PC4709,bbm 
DL1PC4717,bbm 
DL1PC4826,bbm 
DL1PC4828,bbm 
DL1PC4838,bbm 
DL1PC4841,bbm 
DL1PC5850,bbm 
DL1PC5851,bbm 
DL1PC6635,bbm 
DL1PC4125,bbm 
DL1PC4104,bbm 
DL1PC4106,bbm 
DL1PC4162,bbm 
DL1PC4172,bbm 
DL1PC4480,bbm 
DL1PD3664,bbm depot2
DL1PD2304,bbm depot2
DL1PD2278,bbm depot2
DL1PD2297,bbm depot2
DL1PD2618,bbm depot2
DL1PD2198,bbm depot2
DL1PD3651,bbm depot2
DL1PD2659,bbm depot2
DL1PD2469,bbm depot2
DL1PD3490,bbm depot2
DL1PD2253,bbm depot2
DL1PD3674,bbm depot2
DL1PD2352,bbm depot2
DL1PD2327,bbm depot2
DL1PD3692,bbm depot2
DL1PD2342,bbm depot2
DL1PD2274,bbm depot2
DL1PD2461,bbm depot2
DL1PD2662,bbm depot2
DL1PD2362,bbm depot2
DL1PD2254,bbm depot2
DL1PD2313,bbm depot2
DL1PD2308,bbm depot2
DL1PD3663,bbm depot2
DL1PD3677,bbm depot2
DL1PD2190,bbm depot2
DL1PD2347,bbm depot2
DL1PD2664,bbm depot2
DL1PD3625,bbm depot2
DL1PD3633,bbm depot2
DL1PD2361,bbm depot2
DL1PD2341,bbm depot2
DL1PD2355,bbm depot2
DL1PD2184,bbm depot2
DL1PD2332,bbm depot2
DL1PD2319,bbm depot2
DL1PD2360,bbm depot2
DL1PD2302,bbm depot2
DL1PD2208,bbm depot2
DL1PD3618,bbm depot2
DL1PD3724,bbm depot2
DL1PD3613,bbm depot2
DL1PD2196,bbm depot2
DL1PD2372,bbm depot2
DL1PD2230,bbm depot2
DL1PD2287,bbm depot2
DL1PD3653,bbm depot2
DL1PD3710,bbm depot2
DL1PD2617,bbm depot2
DL1PD2223,bbm depot2
DL1PD2373,bbm depot2
DL1PD2281,bbm depot2
DL1PD2261,bbm depot2
DL1PD2348,bbm depot2
DL1PD2330,bbm depot2
DL1PD3623,bbm depot2
DL1PD2290,bbm depot2
DL1PD2267,bbm depot2
DL1PD2219,bbm depot2
DL1PD3605,bbm depot2
DL1PD2256,bbm depot2
DL1PD2298,bbm depot2
DL1PD2249,bbm depot2
DL1PD2349,bbm depot2
DL1PD2284,bbm depot2
DL1PD2440,bbm depot2
DL1PD2663,dichaon kalan1
DL1PD2580,dichaon kalan1
DL1PD2318,dichaon kalan1
DL1PD2338,dichaon kalan1
DL1PD2753,dichaon kalan1
DL1PD2553,dichaon kalan1
DL1PD2839,dichaon kalan1
DL1PD3258,dichaon kalan1
DL1PD2822,dichaon kalan1
DL1PD2733,dichaon kalan1
DL1PD2990,dichaon kalan1
DL1PD2499,dichaon kalan1
DL1PD2809,dichaon kalan1
DL1PD2759,dichaon kalan1
DL1PD2844,dichaon kalan1
DL1PD2384,dichaon kalan1
DL1PD3072,dichaon kalan1
DL1PD3003,dichaon kalan1
DL1PD2827,dichaon kalan1
DL1PD2989,dichaon kalan1
DL1PD2600,dichaon kalan1
DL1PD2520,dichaon kalan1
DL1PD2415,dichaon kalan1
DL1PD2593,dichaon kalan1
DL1PD2467,dichaon kalan1
DL1PD3016,dichaon kalan1
DL1PD2794,dichaon kalan1
DL1PD2862,dichaon kalan1
DL1PD2988,dichaon kalan1
DL1PD2644,dichaon kalan1
DL1PD3074,dichaon kalan1
DL1PD2832,dichaon kalan1
DL1PD2715,dichaon kalan1
DL1PD3271,dichaon kalan1
DL1PD2798,dichaon kalan1
